,state_name,State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2,date
173816,Kerala,KL,Alappuzha,2121943,316160,1862,313515,0,1518055,855411,2020-03-02
320013,Rajasthan,RJ,Sirohi,1037185,13732,79,13653,84616,610090,348789,2020-03-04
117054,Haryana,HR,Charkhi Dadri,502276,5078,139,4939,58525,364599,262184,2020-03-08
189913,Maharashtra,MH,Gondia,1322331,40519,569,39941,130146,888961,469980,2020-03-11
180570,Kerala,KL,Thiruvananthapuram,3307284,463977,4996,448304,436661,2578575,1562343,2020-03-13
191722,Maharashtra,MH,Jalna,1958483,60615,1209,59382,117047,1081253,413822,2020-03-14
320633,Rajasthan,RJ,Tonk,1421711,9498,92,9406,74225,884688,419023,2020-03-16
175669,Kerala,KL,Kannur,2525637,275264,2325,269475,392136,1891004,959656,2020-03-16
429112,West Bengal,WB,Darjeeling,1842034,57143,539,56326,0,1324555,664306,2020-03-17
429707,West Bengal,WB,Hooghly,5520389,86300,990,84650,0,3368156,1343978,2020-03-18
400805,Uttar Pradesh,UP,Lakhimpur Kheri,4013634,24410,292,24117,368533,1829019,382178,2020-03-18
357419,Tamil Nadu,TN,Ramanathapuram,1337560,20564,357,20158,23389,660673,280037,2020-03-21
316990,Rajasthan,RJ,Pali,2038533,27324,287,27037,179463,1200554,513058,2020-03-21
166600,Karnataka,KA,Koppal,1391292,35198,521,34660,8708,814373,411092,2020-03-21
289151,Punjab,PB,Jalandhar,2181753,63396,1496,61864,443735,1433553,681370,2020-03-22
419594,Uttarakhand,UT,Chamoli,391114,12242,62,11972,90390,273850,191420,2020-03-23
167204,Karnataka,KA,Mandya,1808680,73753,650,73029,14874,1189318,659066,2020-03-23
64936,Bihar,BR,Siwan,3318176,15195,170,15025,536438,1670590,684755,2020-03-24
266474,Odisha,OR,Balasore,2317419,40787,299,40389,9843,1351099,534318,2020-03-25
144331,Jammu and Kashmir,JK,Baramulla,1015503,24613,282,24196,0,776258,450002,2020-03-26
214737,Manipur,MN,Jiribam,43818,0,0,0,0,27911,17262,2020-03-26
233020,Madhya Pradesh,MP,Hoshangabad,1240975,10688,99,10570,46294,865566,369945,2020-03-28
7162,Andhra Pradesh,AP,S.P.S. Nellore,2966082,146388,1053,144919,682964,2143402,1403240,2020-03-28
227701,Madhya Pradesh,MP,Chhindwara,2090306,6734,120,6612,79090,1624355,591843,2020-03-28
64942,Bihar,BR,Siwan,3318176,15195,170,15025,536438,1670590,684755,2020-03-30
96252,Gujarat,GJ,Gir Somnath,1217477,8570,67,8499,121948,845224,363467,2020-03-31
403853,Uttar Pradesh,UP,Mainpuri,1847194,10028,182,9846,228496,860461,219990,2020-03-31
268265,Odisha,OR,Boudh,439917,12634,112,12488,496,259325,92297,2020-03-31
335621,Telangana,TG,Narayanpet,566874,0,0,0,0,288388,50219,2020-04-01
343538,Telangana,TG,Yadadri Bhuvanagiri,726465,0,0,0,0,463854,223506,2020-04-01
