state,year,month,week,delta_confirmed,delta_recover,delta_deceased,delta_tested,delta_vaccinated_1,delta_vaccinated_2,delta7_confirmed,delta7_recover,delta7_deceased,delta7_tested,delta7_vaccinated_1,delta7_vaccinated_2,total_confirmed,total_recover,total_deceased,total_tested,total_vaccinated_1,total_vaccinated_2
"Andaman and Nicobar Islands",2020,3,12,9,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0
"Andaman and Nicobar Islands",2020,3,13,1,0,0,0,0,0,29,0,0,0,0,0,29,0,0,0,0,0
"Andaman and Nicobar Islands",2020,4,14,1,10,0,0,0,0,5,30,0,0,0,0,74,30,0,0,0,0
"Andaman and Nicobar Islands",2020,4,15,3,1,0,1403,0,0,7,43,0,2806,0,0,81,73,0,2806,0,0
"Andaman and Nicobar Islands",2020,4,16,19,0,0,1276,0,0,69,4,0,9567,0,0,150,77,0,12373,0,0
"Andaman and Nicobar Islands",2020,4,17,0,5,0,169,0,0,77,13,0,7056,0,0,165,68,0,14071,0,0
"Andaman and Nicobar Islands",2020,5,17,0,10,0,906,0,0,4,20,0,2150,0,0,66,42,0,7508,0,0
"Andaman and Nicobar Islands",2020,5,18,0,7,0,0,0,0,0,117,0,4699,0,0,231,227,0,26278,0,0
"Andaman and Nicobar Islands",2020,5,19,0,0,0,2923,0,0,0,4,0,2923,0,0,231,231,0,29201,0,0
"Andaman and Nicobar Islands",2020,5,20,0,0,0,650,0,0,0,0,0,19957,0,0,231,231,0,49158,0,0
"Andaman and Nicobar Islands",2020,5,21,0,0,0,240,0,0,0,0,0,3132,0,0,231,231,0,52290,0,0
"Andaman and Nicobar Islands",2020,5,22,0,0,0,139,0,0,0,0,0,379,0,0,33,33,0,7706,0,0
"Andaman and Nicobar Islands",2020,6,22,0,0,0,1331,0,0,0,0,0,5367,0,0,198,198,0,50330,0,0
"Andaman and Nicobar Islands",2020,6,23,5,0,0,1918,0,0,18,0,0,12294,0,0,249,231,0,70330,0,0
"Andaman and Nicobar Islands",2020,6,24,9,2,0,2365,0,0,59,6,0,15464,0,0,308,237,0,85794,0,0
"Andaman and Nicobar Islands",2020,6,25,25,8,0,1531,0,0,96,45,0,12579,0,0,404,282,0,98373,0,0
"Andaman and Nicobar Islands",2020,6,26,25,2,0,858,0,0,124,21,0,5545,0,0,270,135,0,46213,0,0
"Andaman and Nicobar Islands",2020,7,26,22,21,0,1123,0,0,186,53,0,8013,0,0,444,221,0,65718,0,0
"Andaman and Nicobar Islands",2020,7,27,37,26,0,1483,0,0,316,205,0,11310,0,0,1030,561,0,123241,0,0
"Andaman and Nicobar Islands",2020,7,28,32,53,0,1356,0,0,198,327,0,10079,0,0,1228,888,0,133320,0,0
"Andaman and Nicobar Islands",2020,7,29,102,31,0,2294,0,0,404,250,0,13588,0,0,1632,1138,0,146908,0,0
"Andaman and Nicobar Islands",2020,7,30,258,38,5,2073,0,0,1123,222,12,13449,0,0,2465,1184,12,138392,0,0
"Andaman and Nicobar Islands",2020,8,30,88,12,2,270,0,0,346,50,7,2343,0,0,636,226,7,24308,0,0
"Andaman and Nicobar Islands",2020,8,31,715,274,13,2765,0,0,4114,978,80,18736,0,0,7215,2388,99,181436,0,0
"Andaman and Nicobar Islands",2020,8,32,955,628,4,1136,0,0,6093,3631,53,12523,0,0,13308,6019,152,193959,0,0
"Andaman and Nicobar Islands",2020,8,33,502,725,8,1679,0,0,4904,4717,60,10130,0,0,18212,10736,212,204089,0,0
"Andaman and Nicobar Islands",2020,8,34,273,666,12,2519,0,0,2631,5196,62,15767,0,0,20843,15932,274,219856,0,0
"Andaman and Nicobar Islands",2020,8,35,51,128,2,1078,0,0,472,1178,23,5368,0,0,6236,5233,91,66159,0,0
"Andaman and Nicobar Islands",2020,9,35,160,257,4,5089,0,0,1039,2185,34,25649,0,0,16118,14062,240,184714,0,0
"Andaman and Nicobar Islands",2020,9,36,229,298,1,5996,0,0,1635,2246,23,42184,0,0,23989,21541,354,293057,0,0
"Andaman and Nicobar Islands",2020,9,37,123,234,1,6111,0,0,1160,1871,9,42403,0,0,25149,23412,363,335460,0,0
"Andaman and Nicobar Islands",2020,9,38,130,115,0,5378,0,0,855,1063,1,38678,0,0,26004,24475,364,374138,0,0
"Andaman and Nicobar Islands",2020,9,39,61,57,1,2704,0,0,526,437,4,20984,0,0,15253,14330,212,230902,0,0
"Andaman and Nicobar Islands",2020,10,39,33,34,0,2468,0,0,297,314,3,17124,0,0,11574,10896,159,181344,0,0
"Andaman and Nicobar Islands",2020,10,40,124,102,2,7233,0,0,723,631,9,43807,0,0,27550,25857,380,456053,0,0
"Andaman and Nicobar Islands",2020,10,41,91,104,1,5813,0,0,777,751,7,45594,0,0,28327,26608,387,501647,0,0
"Andaman and Nicobar Islands",2020,10,42,142,120,2,7603,0,0,832,817,10,46812,0,0,29159,27425,397,548459,0,0
"Andaman and Nicobar Islands",2020,10,43,107,132,1,6573,0,0,856,843,12,49925,0,0,30015,28268,409,598384,0,0
"Andaman and Nicobar Islands",2020,11,44,109,106,1,9150,0,0,702,867,11,56187,0,0,30717,29135,420,654571,0,0
"Andaman and Nicobar Islands",2020,11,45,86,109,1,8096,0,0,719,748,3,62008,0,0,31436,29883,423,716579,0,0
"Andaman and Nicobar Islands",2020,11,46,104,113,0,10269,0,0,676,768,4,62199,0,0,32112,30651,427,778778,0,0
"Andaman and Nicobar Islands",2020,11,47,67,90,0,10363,0,0,598,702,0,73552,0,0,32710,31353,427,852330,0,0
"Andaman and Nicobar Islands",2020,11,48,12,32,0,3058,0,0,117,194,0,21554,0,0,9414,9087,122,257301,0,0
"Andaman and Nicobar Islands",2020,12,48,37,66,0,8259,0,0,246,513,0,55236,0,0,23659,22973,305,671819,0,0
"Andaman and Nicobar Islands",2020,12,49,58,49,0,12278,0,0,413,465,0,82110,0,0,33486,32525,427,1011230,0,0
"Andaman and Nicobar Islands",2020,12,50,70,54,0,12895,0,0,462,353,0,89859,0,0,33948,32878,427,1101089,0,0
"Andaman and Nicobar Islands",2020,12,51,37,70,1,12757,0,0,335,449,6,93031,0,0,34283,33327,433,1194120,0,0
"Andaman and Nicobar Islands",2020,12,52,33,37,0,6062,0,0,216,301,1,52474,0,0,24675,24058,310,896534,0,0
"Andaman and Nicobar Islands",2021,1,0,2,11,0,2085,0,0,69,97,0,16296,0,0,9893,9667,124,366356,0,0
"Andaman and Nicobar Islands",2021,1,1,12,36,0,8835,0,0,102,287,0,57468,0,0,34670,34012,434,1320358,0,0
"Andaman and Nicobar Islands",2021,1,2,23,22,0,9961,225,0,125,205,0,67328,225,0,34795,34217,434,1387686,225,0
"Andaman and Nicobar Islands",2021,1,3,11,12,0,9872,1773,0,132,91,0,68969,6226,0,34927,34308,434,1456655,6451,0
"Andaman and Nicobar Islands",2021,1,4,1,21,0,9483,729,0,30,135,0,65581,10801,0,34957,34443,434,1522236,17252,0
"Andaman and Nicobar Islands",2021,1,5,0,0,0,1261,0,0,1,20,0,9670,708,0,4994,4928,62,223137,2727,0
"Andaman and Nicobar Islands",2021,2,5,6,4,0,10460,434,0,9,57,0,66320,2253,0,29973,29592,372,1375089,17486,0
"Andaman and Nicobar Islands",2021,2,6,9,6,0,12148,485,0,76,12,0,83399,3961,0,35043,34532,434,1681625,24174,0
"Andaman and Nicobar Islands",2021,2,7,5,11,0,11468,1200,1306,44,72,0,82643,4857,3242,35087,34604,434,1764268,29031,3242
"Andaman and Nicobar Islands",2021,2,8,4,3,0,9996,1288,1116,25,49,0,77068,10768,11299,35112,34653,434,1841336,39799,14541
"Andaman and Nicobar Islands",2021,2,9,2,0,0,1290,0,0,6,3,0,9726,1288,1116,5020,4952,62,268499,6134,2422
"Andaman and Nicobar Islands",2021,3,9,4,3,0,9938,2843,443,36,14,0,61196,9733,2680,30134,29718,372,1643759,44686,15915
"Andaman and Nicobar Islands",2021,3,10,6,9,0,11904,2944,417,39,45,0,83360,24317,3098,35193,34715,434,1995618,75137,21435
"Andaman and Nicobar Islands",2021,3,11,8,5,0,12225,1864,1065,48,56,0,86084,14812,4762,35241,34771,434,2081702,89949,26197
"Andaman and Nicobar Islands",2021,3,12,6,6,0,11743,2204,1025,46,35,0,81836,14687,9067,35287,34806,434,2163538,104636,35264
"Andaman and Nicobar Islands",2021,3,13,39,1,0,5555,491,236,104,21,0,44965,7307,2715,20262,19904,248,1271201,64938,21960
"Andaman and Nicobar Islands",2021,4,13,15,11,0,4343,1710,-366,137,25,0,31362,6062,87,15266,14948,186,968664,53067,16106
"Andaman and Nicobar Islands",2021,4,14,77,51,0,11577,11687,328,436,262,0,74023,48154,-350,35964,35114,434,2313888,166159,37716
"Andaman and Nicobar Islands",2021,4,15,156,108,2,13955,37663,998,765,446,5,91128,178968,4352,36729,35560,439,2405016,345127,42068
"Andaman and Nicobar Islands",2021,4,16,283,264,2,11855,19270,2731,1748,1448,13,94865,217230,15146,38477,37008,452,2499881,562357,57214
"Andaman and Nicobar Islands",2021,4,17,335,291,1,9302,6683,1582,1922,1901,13,63717,69383,13386,34785,33499,399,2202004,544930,61301
"Andaman and Nicobar Islands",2021,5,17,97,72,1,1318,557,232,432,363,2,10620,7240,1814,6046,5773,68,372214,94050,11113
"Andaman and Nicobar Islands",2021,5,18,295,283,6,4322,3152,2342,2714,2227,31,50077,29919,14166,43545,41499,498,2624295,668899,86580
"Andaman and Nicobar Islands",2021,5,19,227,211,11,2560,1882,1455,1736,1743,68,21952,19742,13087,45281,43242,566,2646247,688641,99667
"Andaman and Nicobar Islands",2021,5,20,252,174,16,3544,4518,242,1710,1373,93,20781,18465,5502,46991,44615,659,2667028,707106,105169
"Andaman and Nicobar Islands",2021,5,21,144,219,12,2924,4712,14,1302,1351,97,22660,34532,928,48293,45966,756,2689688,741638,106097
"Andaman and Nicobar Islands",2021,5,22,41,59,2,1049,770,15,292,434,22,5940,9215,43,13989,13402,229,772601,217640,30347
"Andaman and Nicobar Islands",2021,6,22,100,157,7,3172,2877,41,728,1076,50,19615,21372,209,35324,34074,599,1942642,554585,76002
"Andaman and Nicobar Islands",2021,6,23,138,120,4,5839,3725,126,932,1170,43,35811,22889,653,50245,48646,871,2751054,795114,107002
"Andaman and Nicobar Islands",2021,6,24,151,166,1,5373,5510,149,963,935,15,40263,34202,916,51208,49581,886,2791317,829316,107918
"Andaman and Nicobar Islands",2021,6,25,52,103,0,5532,22140,804,803,916,3,38804,82282,2165,52011,50497,889,2830121,911598,110083
"Andaman and Nicobar Islands",2021,6,26,21,43,1,3361,13134,3522,166,383,3,22302,106562,9942,29850,29156,511,1634810,603041,72106
"Andaman and Nicobar Islands",2021,7,26,11,22,0,2471,2860,4950,95,239,3,16931,59850,20939,22422,21963,384,1234544,474969,68858
"Andaman and Nicobar Islands",2021,7,27,14,22,1,6189,6790,31747,146,300,2,42222,58889,142641,52418,51419,897,2911576,1136899,283605
"Andaman and Nicobar Islands",2021,7,28,14,9,0,6718,14553,20679,74,85,6,42970,88508,195839,52492,51504,903,2954546,1225407,479444
"Andaman and Nicobar Islands",2021,7,29,19,21,0,7359,12045,9278,148,111,0,52694,75317,95910,52640,51615,903,3007240,1300724,575354
"Andaman and Nicobar Islands",2021,7,30,12,18,0,8243,16978,5085,86,134,0,53791,106576,50161,52726,51749,903,3061031,1407300,625515
"Andaman and Nicobar Islands",2021,8,31,7,9,0,9338,5326,2689,59,96,0,61478,79977,25685,52785,51845,903,3122509,1487277,651200
"Andaman and Nicobar Islands",2021,8,32,4,8,0,8673,17687,3036,47,47,0,63186,64944,17997,52832,51892,903,3185695,1552221,669197
"Andaman and Nicobar Islands",2021,8,33,9,2,0,12644,5785,2868,30,41,0,72914,101227,22625,52862,51933,903,3258609,1653448,691822
"Andaman and Nicobar Islands",2021,8,34,3,9,0,13344,13125,3855,54,35,0,93404,72011,26239,52916,51968,903,3352013,1725459,718061
"Andaman and Nicobar Islands",2021,8,35,6,3,0,5783,5876,1792,19,31,0,41946,42860,12175,22695,22292,387,1466242,767759,315695
"Andaman and Nicobar Islands",2021,9,35,6,5,0,7403,4659,2422,35,23,0,53719,41911,14586,30275,29730,516,1981436,1042471,429127
"Andaman and Nicobar Islands",2021,9,36,8,7,0,13914,7365,5812,59,54,0,94658,49734,32681,53029,52076,903,3542336,1859964,777503
"Andaman and Nicobar Islands",2021,9,37,18,12,0,15277,15654,15761,110,72,0,98269,86709,65900,53139,52148,903,3640605,1946673,843403
"Andaman and Nicobar Islands",2021,9,38,20,18,0,16913,3321,18247,136,110,0,119702,65650,143034,53275,52258,903,3760307,2012323,986437
"Andaman and Nicobar Islands",2021,9,39,3,10,0,7994,1234,5170,58,87,0,69604,10095,61557,38098,37400,645,2743689,1445740,753749
"Andaman and Nicobar Islands",2021,10,39,1,1,0,3982,271,1124,8,23,0,24225,3303,14372,15243,14968,258,1110447,579981,308617
"Andaman and Nicobar Islands",2021,10,40,10,8,0,11517,1408,12319,49,49,0,84353,9670,64929,53390,52417,903,3938489,2035391,1127295
"Andaman and Nicobar Islands",2021,10,41,9,11,0,10051,914,8140,71,76,0,76838,8382,67706,53461,52493,903,4015327,2043773,1195001
"Andaman and Nicobar Islands",2021,10,42,7,8,0,10236,791,14596,55,69,0,68126,5314,77262,53516,52562,903,4083453,2049087,1272263
"Andaman and Nicobar Islands",2021,10,43,3,7,0,8718,886,10751,31,47,0,66503,6211,95098,53547,52609,903,4149956,2055298,1367361
"Andaman and Nicobar Islands",2021,10,44,0,0,0,1376,3,13,3,5,0,8936,884,10640,7651,7518,129,598033,294001,200157
"Andhra Pradesh",2020,3,10,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Andhra Pradesh",2020,3,11,4,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0
"Andhra Pradesh",2020,3,12,14,0,0,0,0,0,59,0,0,0,0,0,74,0,0,0,0,0
"Andhra Pradesh",2020,3,13,25,1,0,0,0,0,67,3,0,0,0,0,88,3,0,0,0,0
"Andhra Pradesh",2020,4,13,148,1,1,1800,0,0,563,8,2,5400,0,0,616,8,2,5400,0,0
"Andhra Pradesh",2020,4,14,213,8,5,5158,0,0,1666,40,28,16932,0,0,2370,51,30,22332,0,0
"Andhra Pradesh",2020,4,15,198,32,10,14492,0,0,1207,106,53,77419,0,0,3577,157,83,99751,0,0
"Andhra Pradesh",2020,4,16,413,129,15,39816,0,0,2226,673,87,198843,0,0,5803,830,170,298594,0,0
"Andhra Pradesh",2020,4,17,387,150,0,33292,0,0,2436,818,45,222548,0,0,6268,1332,155,405538,0,0
"Andhra Pradesh",2020,5,17,122,120,2,13845,0,0,1017,528,6,95259,0,0,2988,844,66,210863,0,0
"Andhra Pradesh",2020,5,18,405,446,11,56666,0,0,3121,2663,38,369642,0,0,12377,4839,259,986043,0,0
"Andhra Pradesh",2020,5,19,425,466,5,54421,0,0,2714,3079,69,411338,0,0,15091,7918,328,1397381,0,0
"Andhra Pradesh",2020,5,20,359,426,7,73479,0,0,2756,3590,42,469242,0,0,17847,11508,370,1866623,0,0
"Andhra Pradesh",2020,5,21,747,510,4,70409,0,0,3955,2963,36,466849,0,0,21802,14471,406,2333472,0,0
"Andhra Pradesh",2020,5,22,110,51,2,9370,0,0,791,499,6,68422,0,0,3571,2340,62,372748,0,0
"Andhra Pradesh",2020,6,22,889,300,11,63587,0,0,5238,2356,63,427229,0,0,24260,14986,413,2456375,0,0
"Andhra Pradesh",2020,6,23,1398,545,9,100235,0,0,8693,2926,72,644241,0,0,36524,20252,547,3473364,0,0
"Andhra Pradesh",2020,6,24,2594,926,19,115807,0,0,13784,5391,90,722753,0,0,50308,25643,637,4196117,0,0
"Andhra Pradesh",2020,6,25,3833,1369,56,163705,0,0,22816,8134,267,1015705,0,0,73124,33777,904,5211822,0,0
"Andhra Pradesh",2020,6,26,2310,1031,30,74108,0,0,13449,5317,200,519563,0,0,41584,18651,536,2604126,0,0
"Andhra Pradesh",2020,7,26,3104,1497,31,106383,0,0,20993,9498,247,692067,0,0,65982,29941,815,3819326,0,0
"Andhra Pradesh",2020,7,27,9536,6385,91,139652,0,0,51077,29337,514,1101838,0,0,158643,77929,1865,7525290,0,0
"Andhra Pradesh",2020,7,28,17374,7370,277,148159,0,0,93397,51246,1300,1000547,0,0,252040,129175,3165,8525837,0,0
"Andhra Pradesh",2020,7,29,44062,21492,399,311290,0,0,216955,96389,2556,1592454,0,0,468995,225564,5721,10118291,0,0
"Andhra Pradesh",2020,7,30,52262,20609,364,356102,0,0,320500,145466,2386,2218435,0,0,700824,327775,7122,10741052,0,0
"Andhra Pradesh",2020,8,30,9276,12750,58,60797,0,0,61538,33359,422,416899,0,0,150209,76614,1407,2012573,0,0
"Andhra Pradesh",2020,8,31,66831,53001,532,411820,0,0,457900,330097,3301,2919416,0,0,1308933,734486,11830,15673041,0,0
"Andhra Pradesh",2020,8,32,64777,61502,623,387804,0,0,472191,408780,4236,2867095,0,0,1781124,1143266,16066,18540136,0,0
